sentence	label
alain choquart 's camera barely stops moving , portraying both the turmoil of the time and giving conduct a perpetual sense of urgency , which , for a film that takes nearly three hours to unspool , is both funny and irritating .	2
during the tuxedo 's 90 minutes of screen time , there is n't one true ` chan moment ' .	1
as each of them searches for their place in the world , miller digs into their very minds to find an unblinking , flawed humanity .	3
it never rises to its clever what-if concept .	1
texan director george ratliff had unlimited access to families and church meetings , and he delivers fascinating psychological fare .	4
the cast comes through even when the movie does n't .	2
gets the look and the period trappings right , but it otherwise drowns in a sea of visual and verbal clichés .	1
all the filmmakers are asking of us , is to believe in something that is improbable .	2
there are a couple of things that elevate `` glory '' above most of its ilk , most notably the mere presence of duvall .	3
a well-executed spy-thriller .	4
it 's a shame that the storyline and its underlying themes ... finally seem so impersonal or even shallow .	0
300 years of russian history and culture compressed into an evanescent , seamless and sumptuous stream of consciousness .	4
a preposterous , prurient whodunit .	0
what you end up getting is the vertical limit of surfing movies - memorable stunts with lots of downtime in between .	2
this is an undeniably intriguing film from an adventurous young talent who finds his inspiration on the fringes of the american underground .	4
the film never gets over its own investment in conventional arrangements , in terms of love , age , gender , race , and class .	1
anyone who suffers through this film deserves , at the very least , a big box of consolation candy .	0
writer\/director alexander payne -lrb- election -rrb- and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing .	3
the film 's plot may be shallow , but you 've never seen the deep like you see it in these harrowing surf shots .	3
imperfect ?	1
how about starting with a more original story instead of just slapping extreme humor and gross-out gags on top of the same old crap ?	2
awesome work : ineffable , elusive , yet inexplicably powerful	4
visually striking and viscerally repellent .	3
canada 's arctic light shines bright on this frozen tundra soap opera that breathes extraordinary life into the private existence of the inuit people .	3
efteriades gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug .	3
an alternately raucous and sappy ethnic sitcom ... you 'd be wise to send your regrets .	1
beautifully shot , delicately scored and powered by a set of heartfelt performances , it 's a lyrical endeavour .	4
like the series , the movie is funny , smart , visually inventive , and most of all , alive .	2
for all of its insights into the dream world of teen life , and its electronic expression through cyber culture , the film gives no quarter to anyone seeking to pull a cohesive story out of its 2 1\/2 - hour running time .	0
the film boasts at least a few good ideas and features some decent performances , but the result is disappointing .	3
something for everyone .	3
one of those terrific documentaries that collect a bunch of people who are enthusiastic about something and then figures out how to make us share their enthusiasm .	4
nohe has made a decent ` intro ' documentary , but he feels like a spectator and not a participant .	1
plodding , peevish and gimmicky .	1
the film can depress you about life itself .	1
even if it is generally amusing from time to time , i spy has all the same problems the majority of action comedies have .	1
amari has dressed up this little parable in a fairly irresistible package full of privileged moments and memorable performances .	4
baby-faced renner is eerily convincing as this bland blank of a man with unimaginable demons within .	3
and as with most late-night bull sessions , eventually the content is n't nearly as captivating as the rowdy participants think it is .	1
in the end , there is n't much to it .	0
the movie is n't painfully bad , something to be ` fully experienced ' ; it 's just tediously bad , something to be fully forgotten .	1
in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .	2
those who are not acquainted with the author 's work , on the other hand , may fall fast asleep .	1
she is a lioness , protecting her cub , and he a reluctant villain , incapable of controlling his crew .	3
because eight legged freaks is partly an homage to them , tarantula and other low - budget b-movie thrillers of the 1950s and '60s , the movie is a silly -lrb- but not sophomoric -rrb- romp through horror and hellish conditions .	2
just watch bettany strut his stuff .	2
an impressive hybrid .	4
provides a very moving and revelatory footnote to the holocaust .	4
... despite lagging near the finish line , the movie runs a good race , one that will have you at the edge of your seat for long stretches . '	3
... `` bowling for columbine '' remains a disquieting and thought-provoking film ...	3
like a soft drink that 's been sitting open too long : it 's too much syrup and not enough fizz .	0
films about loss , grief and recovery are pretty valuable these days .	3
the concept behind kung pow : enter the fist is hilarious .	3
real women have curves does n't offer any easy answers .	2
gaghan ... has thrown every suspenseful cliché in the book at this nonsensical story .	1
a well-acted , but one-note film .	2
a passionately inquisitive film determined to uncover the truth and hopefully inspire action .	4
it 's just rather leaden and dull .	0
she 's a cipher , played by an actress who smiles and frowns but does n't reveal an inner life .	2
quitting delivers a sucker-punch , and its impact is all the greater beause director zhang 's last film , the cuddly shower , was a non-threatening multi-character piece centered around a public bath house .	2
the movie does has some entertainment value - how much depends on how well you like chris rock .	2
an intimate contemplation of two marvelously messy lives .	3
it gets the details of its time frame right but it completely misses its emotions .	1
occasionally funny , sometimes inspiring , often boring .	2
a high-spirited buddy movie about the reunion of berlin anarchists who face arrest 15 years after their crime .	3
austin powers in goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .	1
drowning 's too good for this sucker .	1
an overwrought taiwanese soaper about three people and their mixed-up relationship .	2
with a romantic comedy plotline straight from the ages , this cinderella story does n't have a single surprise up its sleeve .	1
another trumpet blast that there may be a new mexican cinema a-bornin ' . '	3
so mind-numbingly awful that you hope britney wo n't do it one more time , as far as movies are concerned .	1
a late-night cable sexploitation romp masquerading as a thriller about the ruthless social order that governs college cliques .	2
... myers has turned his franchise into the movie version of an adolescent dirty-joke book done up in post-tarantino pop-culture riffs ...	2
self-congratulatory , misguided , and ill-informed , if nonetheless compulsively watchable .	2
there 's a heavy stench of ` been there , done that ' hanging over the film .	1
presents nothing special and , until the final act , nothing overtly disagreeable .	1
the very definition of what critics have come to term an `` ambitious failure . ''	1
utter mush ... conceited pap .	0
like a skillful fisher , the director uses the last act to reel in the audience since its poignancy hooks us completely .	4
presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency .	2
displays the potential for a better movie than what bailly manages to deliver	2
the superior plotline is n't quite enough to drag along the dead -lrb- water -rrb- weight of the other .	1
a quietly moving look back at what it was to be iranian-american in 1979 .	3
that the chuck norris `` grenade gag '' occurs about 7 times during windtalkers is a good indication of how serious-minded the film is .	2
this mistaken-identity picture is so film-culture referential that the final product is a ghost .	1
personal velocity has a no-frills docu-dogma plainness , yet miller lingers on invisible , nearly psychic nuances , leaping into digressions of memory and desire .	2
ms. hutchins is talented enough and charismatic enough to make us care about zelda 's ultimate fate .	4
would 've been nice if the screenwriters had trusted audiences to understand a complex story , and left off the film 's predictable denouement .	0
it 's jagger 's bone-dry , mournfully brittle delivery that gives the film its bittersweet bite .	2
one scene after another in this supposedly funny movie falls to the floor with a sickening thud .	1
the ring is worth a look , if you do n't demand much more than a few cheap thrills from your halloween entertainment .	2
it 's consistently funny , in an irresistible junior-high way , and consistently free of any gag that would force you to give it a millisecond of thought .	3
it 's surprisingly decent , particularly for a tenth installment in a series .	3
an average b-movie with no aspirations to be anything more .	1
eventually , they will have a showdown , but , by then , your senses are as mushy as peas and you do n't care who fires the winning shot .	0
the charms of the lead performances allow us to forget most of the film 's problems .	3
hopelessly inane , humorless and under-inspired .	0
one of the most original american productions this year , you 'll find yourself remembering this refreshing visit to a sunshine state .	4
by turns fanciful , grisly and engagingly quixotic .	3
p.t. anderson understands the grandness of romance and how love is the great equalizer that can calm us of our daily ills and bring out joys in our lives that we never knew were possible .	4
director roger michell does so many of the little things right that it 's difficult not to cuss him out severely for bungling the big stuff .	2
all very stylish and beautifully photographed , but far more trouble than it 's worth , with fantasy mixing with reality and actors playing more than one role just to add to the confusion .	2
a smart , sassy and exceptionally charming romantic comedy .	4
can i admit xxx is as deep as a petri dish and as well-characterized as a telephone book but still say it was a guilty pleasure ?	1
parts seem like they were lifted from terry gilliam 's subconscious , pressed through kafka 's meat grinder and into buñuel 's casings	3
in the disturbingly involving family dysfunctional drama how i killed my father , french director anne fontaine delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition	3
brosnan 's finest non-bondish performance yet fails to overcome the film 's manipulative sentimentality and annoying stereotypes .	1
a tremendous piece of work .	4
ultimately , `` mib ii '' succeeds due to its rapid-fire delivery and enough inspired levity that it ca n't be dismissed as mindless .	3
the first question to ask about bad company is why anthony hopkins is in it .	1
a poky and pseudo-serious exercise in sham actor workshops and an affected malaise .	0
quite simply , a joy to watch and -- especially -- to listen to .	4
the biggest problem with roger avary 's uproar against the mpaa is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything .	0
... the whole thing succeeded only in making me groggy .	1
anyone else who may , for whatever reason , be thinking about going to see this movie is hereby given fair warning .	1
a sleep-inducing thriller with a single twist that everyone except the characters in it can see coming a mile away .	1
director douglas mcgrath takes on nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .	0
it 's loud and boring ; watching it is like being trapped at a bad rock concert .	1
mr. deeds is sure to give you a lot of laughs in this simple , sweet and romantic comedy .	4
graced with the kind of social texture and realism that would be foreign in american teen comedies .	3
nettelbeck has crafted an engaging fantasy of flavours and emotions , one part romance novel , one part recipe book .	3
though a capable thriller , somewhere along the way k-19 jettisoned some crucial drama .	1
while glover , the irrepressible eccentric of river 's edge , dead man and back to the future , is perfect casting for the role , he represents bartleby 's main overall flaw .	2
at a time when we 've learned the hard way just how complex international terrorism is , collateral damage paints an absurdly simplistic picture .	1
very well written and directed with brutal honesty and respect for its audience .	4
make no mistake , ivans xtc .	2
if you do n't ... well , skip to another review .	2
sharp edges and a deep vein of sadness run through its otherwise comic narrative .	3
the movie plays up the cartoon 's more obvious strength of snazziness while neglecting its less conspicuous writing strength .	2
better still , he does all of this , and more , while remaining one of the most savagely hilarious social critics this side of jonathan swift .	4
analyze that regurgitates and waters down many of the previous film 's successes , with a few new swings thrown in .	2
in truth , it has all the heart of a porno flick -lrb- but none of the sheer lust -rrb- .	1
poignant and funny .	3
tackles the difficult subject of grief and loss with such life-embracing spirit that the theme does n't drag an audience down .	3
in the end there is one word that best describes this film : honest .	3
it 's time to let your hair down -- greek style .	2
if signs is a good film , and it is , the essence of a great one is in there somewhere .	2
weaver and lapaglia are both excellent , in the kind of low-key way that allows us to forget that they are actually movie folk .	4
but if the essence of magic is its make-believe promise of life that soars above the material realm , this is the opposite of a truly magical movie .	0
has the capability of effecting change and inspiring hope .	3
deadly dull , pointless meditation on losers in a gone-to-seed hotel .	1
a well-put-together piece of urban satire .	3
true to its title , it traps audiences in a series of relentlessly nasty situations that we would pay a considerable ransom not to be looking at .	1
the story is virtually impossible to follow here , but there 's a certain style and wit to the dialogue .	2
demme gets a lot of flavor and spice into his charade remake , but he ca n't disguise that he 's spiffing up leftovers that are n't so substantial or fresh .	1
julie davis is the kathie lee gifford of film directors , sadly proving once again ego does n't always go hand in hand with talent .	1
nothing too deep or substantial .	1
all too familiar ... basically the sort of cautionary tale that was old when ` angels with dirty faces ' appeared in 1938 .	1
any movie that makes hard work seem heroic deserves a look .	3
a true-blue delight .	4
do we really need another film that praises female self-sacrifice ?	1
so brisk is wang 's pacing that none of the excellent cast are given air to breathe .	2
an absorbing and unsettling psychological drama .	3
i found myself more appreciative of what the director was trying to do than of what he had actually done .	2
a movie that 's held captive by mediocrity .	1
but while the highly predictable narrative falls short , treasure planet is truly gorgeous to behold .	4
the most horrific movie experience i 've had since `` ca n't stop the music . ''	0
shadyac , who belongs with the damned for perpetrating patch adams , trots out every ghost trick from the sixth sense to the mothman prophecies .	2
a crude teen-oriented variation on a theme that the playwright craig lucas explored with infinitely more grace and eloquence in his prelude to a kiss .	2
the story is a rather simplistic one : grief drives her , love drives him , and a second chance to find love in the most unlikely place - it struck a chord in me .	3
despite its lavish formalism and intellectual austerity , the film manages to keep you at the edge of your seat with its shape-shifting perils , political intrigue and brushes with calamity .	3
passions , obsessions , and loneliest dark spots are pushed to their most virtuous limits , lending the narrative an unusually surreal tone .	3
you can fire a torpedo through some of clancy 's holes , and the scripters do n't deserve any oscars .	0
there is a difference between movies with the courage to go over the top and movies that do n't care about being stupid	1
from the dull , surreal ache of mortal awareness emerges a radiant character portrait .	3
comedian , like its subjects , delivers the goods and audiences will have a fun , no-frills ride .	3
lucas has in fact come closer than anyone could desire to the cheap , graceless , hackneyed sci-fi serials of the '30s and '40s .	1
gangster no. 1 is solid , satisfying fare for adults .	4
ken russell would love this .	3
disturbing .	1
at once a testament to the divine calling of education and a demonstration of the painstaking process of imparting knowledge .	3
thanks largely to williams , all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film .	0
it finds no way to entertain or inspire its viewers .	1
the difference between cho and most comics is that her confidence in her material is merited .	3
colorful , energetic and sweetly whimsical ... the rare sequel that 's better than its predecessor .	4
this is a smart movie that knows its classical music , knows its freud and knows its sade .	3
chances are you wo n't , either .	2
strictly a ` guy 's film ' in the worst sense of the expression .	1
spielberg 's first real masterpiece , it deserved all the hearts it won -- and wins still , 20 years later .	4
return to neverland manages to straddle the line between another classic for the company and just another run-of-the-mill disney sequel intended for the home video market .	1
it 's touching and tender and proves that even in sorrow you can find humor .	3
it 's a movie that accomplishes so much that one viewing ca n't possibly be enough .	3
painfully padded .	1
while not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the national lampoon film franchise , too long reduced to direct-to-video irrelevancy .	3
so devoid of pleasure or sensuality that it can not even be dubbed hedonistic .	0
ms. phoenix is completely lacking in charm and charisma , and is unable to project either esther 's initial anomie or her eventual awakening .	0
plays like one long , meandering sketch inspired by the works of john waters and todd solondz , rather than a fully developed story .	1
` like a child with an important message to tell ... -lrb- skins ' -rrb- faults are easy to forgive because the intentions are lofty . '	2
directors brett morgen and nanette burstein have put together a bold biographical fantasia .	4
a documentary to make the stones weep -- as shameful as it is scary .	1
the film is delicately narrated by martin landau and directed with sensitivity and skill by dana janklowicz-mann .	3
too infuriatingly quirky and taken with its own style .	1
this tale has been told and retold ; the races and rackets change , but the song remains the same .	1
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .	1
an entertaining documentary that freshly considers arguments the bard 's immortal plays were written by somebody else .	3
a ` girls gone wild ' video for the boho art-house crowd , the burning sensation is n't a definitive counter-cultural document -- its makers are n't removed and inquisitive enough for that .	0
boy oh boy , it 's a howler .	2
it 's a thin notion , repetitively stretched out to feature length , awash in self-consciously flashy camera effects , droning house music and flat , flat dialogue .	1
there are flaws , but also stretches of impact and moments of awe ; we 're wrapped up in the characters , how they make their choices , and why .	3
... a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll .	4
there 's something unintentionally comic in the film 's drumbeat about authenticity , given the stale plot and pornographic way the film revels in swank apartments , clothes and parties .	1
certainly the big finish was n't something galinsky and hawley could have planned for ... but part of being a good documentarian is being there when the rope snaps .	3
michael moore 's latest documentary about america 's thirst for violence is his best film yet ...	4
by not averting his eyes , solondz forces us to consider the unthinkable , the unacceptable , the unmentionable .	3
ever see one of those comedies that just seem like a bad idea from frame one ?	1
blue crush is so prolonged and boring it is n't even close to being the barn-burningly bad movie it promised it would be .	1
watching spirited away is like watching an eastern imagination explode .	2
whatever complaints i might have , i 'd take -lrb- its -rrb- earnest errors and hard-won rewards over the bombastic self-glorification of other feel-good fiascos like antwone fisher or the emperor 's club any time .	3
... you can be forgiven for realizing that you 've spent the past 20 minutes looking at your watch and waiting for frida to just die already .	0
a no-holds-barred cinematic treat .	4
`` the adventures of pluto nash '' is a big time stinker .	0
the star who helped give a spark to `` chasing amy '' and `` changing lanes '' falls flat as thinking man cia agent jack ryan in this summer 's new action film , `` the sum of all fears . ''	1
the charming result is festival in cannes .	3
highly recommended viewing for its courage , ideas , technical proficiency and great acting .	4
while broomfield 's film does n't capture the effect of these tragic deaths on hip-hop culture , it succeeds as a powerful look at a failure of our justice system .	3
it has a way of seeping into your consciousness , with lingering questions about what the film is really getting at .	3
its strengths and weaknesses play off each other virtually to a stand-off , with the unfortunate trump card being the dreary mid-section of the film .	2
angela gheorghiu as famous prima donna floria tosca , roberto alagna as her lover mario cavaradossi , and ruggero as the villainous , lecherous police chief scarpia , all sing beautifully and act adequately .	3
hmmm ... might i suggest that the wayward wooden one end it all by stuffing himself into an electric pencil sharpener ?	1
this is mild-mannered , been-there material given a pedestrian spin by a director who needed a touch of the flamboyant , the outrageous .	2
george lucas returns as a visionary with a tale full of nuance and character dimension .	3
talk to her is so darned assured , we have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching .	3
it 's the funniest american comedy since graffiti bridge .	4
sitting through the last reel -lrb- spoiler alert ! -rrb-	2
an amateurish , quasi-improvised acting exercise shot on ugly digital video .	0
what more can be expected from a college comedy that 's target audience has n't graduated from junior high school ?	0
while centered on the life experiences of a particular theatrical family , this marvelous documentary touches -- ever so gracefully -- on the entire history of the yiddish theater , both in america and israel .	4
there 's more repetition than creativity throughout the movie .	1
mendes still does n't quite know how to fill a frame .	1
the emotional overload of female angst irreparably drags the film down .	0
like a poor man 's you can count on me	2
the film , like jimmy 's routines , could use a few good laughs .	1
a knowing look at female friendship , spiked with raw urban humor .	3
twenty years later , e.t. is still a cinematic touchstone .	4
on the evidence before us , the answer is clear : not easily and , in the end , not well enough .	1
what started out as a taut contest of wills between bacon and theron , deteriorates into a protracted and borderline silly chase sequence .	2
peter jackson has done the nearly impossible .	3
britney 's performance can not be faulted .	2
holds limited appeal to those who like explosions , sadism and seeing people beat each other to a pulp .	2
the characterizations and dialogue lack depth or complexity , with the ironic exception of scooter .	1
... fuses the events of her life with the imagery in her paintings so vividly that the artist 's work may take on a striking new significance for anyone who sees the film .	4
-lrb- clooney 's -rrb- debut can be accused of being a bit undisciplined , but it has a tremendous , offbeat sense of style and humor that suggests he was influenced by some of the filmmakers who have directed him , especially the coen brothers and steven soderbergh .	3
directing with a sure and measured hand , -lrb- haneke -rrb- steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology .	3
for the most part , the film does hold up pretty well .	3
the fact is that the screen is most alive when it seems most likely that broomfield 's interviewees , or even himself , will not be for much longer .	3
it asks nothing of the audience other than to sit back and enjoy a couple of great actors hamming it up .	3
if ayurveda can help us return to a sane regimen of eating , sleeping and stress-reducing contemplation , it is clearly a good thing .	3
nothing more than a stifling morality tale dressed up in peekaboo clothing .	1
admirably ambitious but self-indulgent .	2
it 's difficult to conceive of anyone who has reached puberty actually finding the characters in slackers or their antics amusing , let alone funny .	0
i 'll go out on a limb .	3
you 'll end up moved .	3
the romance between the leads is n't as compelling or as believable as it should be .	1
an amusing and unexpectedly insightful examination of sexual jealousy , resentment and the fine line between passion and pretence .	4
constantly slips from the grasp of its maker .	0
... bright , intelligent , and humanly funny film .	4
when ` science fiction ' takes advantage of the fact that its intended audience has n't yet had much science , it does a disservice to the audience and to the genre .	1
often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ?	1
while it has definite weaknesses -- like a rather unbelievable love interest and a meandering ending -- this '60s caper film is a riveting , brisk delight .	3
delirious fun .	4
ramsay succeeds primarily with her typical blend of unsettling atmospherics , delivering a series of abrasive , stylized sequences that burn themselves upon the viewer 's memory .	3
hey , happy !	3
it 's a documentary that says that the alternate sexuality meant to set you free may require so much relationship maintenance that celibacy can start looking good .	2
it 's bedeviled by labored writing and slack direction .	1
yet in its own aloof , unreachable way it 's so fascinating you wo n't be able to look away for a second .	3
peppering this urban study with references to norwegian folktales , villeneuve creates in maelstrom a world where the bizarre is credible and the real turns magical .	3
red dragon is less baroque and showy than hannibal , and less emotionally affecting than silence .	2
a major waste ... generic .	0
until it goes off the rails in its final 10 or 15 minutes , wendigo , larry fessenden 's spooky new thriller , is a refreshingly smart and newfangled variation on several themes derived from far less sophisticated and knowing horror films .	3
a film that begins with the everyday lives of naval personnel in san diego and ends with scenes so true and heartbreaking that tears welled up in my eyes both times i saw the film .	4
ah , what the hell .	2
works , it 's thanks to huston 's revelatory performance .	3
ong chooses to present ah na 's life as a slight , weightless fairy tale , whose most unpleasant details seem to melt away in the face of the character 's blank-faced optimism .	2
not the great american comedy , but if you liked the previous movies in the series , you 'll have a good time with this one too .	3
a small gem of a movie that defies classification and is as thought-provoking as it is funny , scary and sad .	3
if you ever wanted to be an astronaut , this is the ultimate movie experience - it 's informative and breathtakingly spectacular .	4
... hopefully it 'll be at the dollar theatres by the time christmas rolls around .	2
to say that this vapid vehicle is downright doltish and uneventful is just as obvious as telling a country skunk that he has severe body odor .	0
the movie enters a realm where few non-porn films venture , and comes across as darkly funny , energetic , and surprisingly gentle .	3
-- was a fad that had long since vanished .	2
most thrillers send audiences out talking about specific scary scenes or startling moments ; `` frailty '' leaves us with the terrifying message that the real horror may be waiting for us at home .	3
the script covers huge , heavy topics in a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people .	1
el crimen del padre amaro would likely be most effective if used as a tool to rally anti-catholic protestors .	1
anyone who 's ever suffered under a martinet music instructor has no doubt fantasized about what an unhappy , repressed and twisted personal life their tormentor deserved .	2
twohy knows how to inflate the mundane into the scarifying , and gets full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record .	3
a gorgeously strange movie , heaven is deeply concerned with morality , but it refuses to spell things out for viewers .	3
a pale xerox of other , better crime movies .	1
some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs. sever , were made for the palm screen .	1
full of detail about the man and his country , and is well worth seeing .	4
harry potter and the chamber of secrets is deja vu all over again , and while that is a cliche , nothing could be more appropriate .	2
beautiful , angry and sad , with a curious sick poetry , as if the marquis de sade had gone in for pastel landscapes .	3
despite its raucous intent , xxx is as conventional as a nike ad and as rebellious as spring break .	2
while this has the making of melodrama , the filmmaker cuts against this natural grain , producing a work that 's more interested in asking questions than in answering them .	2
michel piccoli 's moving performance is this films reason for being .	3
the director has injected self-consciousness into the proceedings at every turn .	2
throws in enough clever and unexpected twists to make the formula feel fresh .	4
the picture does n't know it 's a comedy .	2
boomers and their kids will have a barrie good time .	3
it 's no lie -- big fat liar is a real charmer .	4
what 's next ?	3
the date movie that franz kafka would have made .	2
a brutally dry satire of middle american numbness .	1
the story ultimately takes hold and grips hard .	4
if h.g. wells had a time machine and could take a look at his kin 's reworked version , what would he say ?	2
as the princess , sorvino glides gracefully from male persona to female without missing a beat .	3
the best way to describe it is as a cross between paul thomas anderson 's magnolia and david lynch 's mulholland dr.	2
the irony is that this film 's cast is uniformly superb ; their performances could have -- should have -- been allowed to stand on their own .	3
you begin to long for the end credits as the desert does for rain .	0
is there a group of more self-absorbed women than the mother and daughters featured in this film ?	0
caviezel embodies the transformation of his character completely .	3
lathan and diggs carry the film with their charisma , and both exhibit sharp comic timing that makes the more hackneyed elements of the film easier to digest .	3
few of the increasingly far-fetched events that first-time writer-director neil burger follows up with are terribly convincing , which is a pity , considering barry 's terrific performance .	2
evokes a palpable sense of disconnection , made all the more poignant by the incessant use of cell phones .	3
a humorless journey into a philosophical void .	0
well-meant but unoriginal .	1
full frontal had no effect and elicited no sympathies for any of the characters .	1
the action here is unusually tame , the characters are too simplistic to maintain interest , and the plot offers few surprises .	1
rife with nutty cliches and far too much dialogue .	1
britney spears ' phoniness is nothing compared to the movie 's contrived , lame screenplay and listless direction .	1
a serious movie with serious ideas .	4
i have n't seen such self-amused trash since freddy got fingered .	1
an ingenious and often harrowing look at damaged people and how families can offer either despair or consolation .	3
standing by yourself is haunting ... -lrb- it 's -rrb- what punk rock music used to be , and what the video medium could use more of : spirit , perception , conviction .	3
it 's depressing to see how far herzog has fallen .	1
it 's the type of stunt the academy loves : a powerful political message stuffed into an otherwise mediocre film .	2
please see previous answer .	2
red dragon makes one appreciate silence of the lambs .	2
takes a fresh and absorbing look at a figure whose legacy had begun to bronze .	3
goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .	2
one of the greatest films i 've ever seen .	4
it 's so devoid of joy and energy it makes even jason x ... look positively shakesperean by comparison .	0
jacquot 's strategy allows his cast the benefit of being able to give full performances ... while demonstrating vividly that the beauty and power of the opera reside primarily in the music itself .	3
to blandly go where we went 8 movies ago ...	1
even if you have no interest in the gang-infested , east-vs .	2
a canny , derivative , wildly gruesome portrait of a london sociopath who 's the scariest of sadists .	2
an incredibly irritating comedy about thoroughly vacuous people ... manages to embody the worst excesses of nouvelle vague without any of its sense of fun or energy .	0
fred schepisi 's film is paced at a speed that is slow to those of us in middle age and deathly slow to any teen .	0
-lrb- a -rrb- boldly stroked , luridly coloured , uni-dimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain .	1
this wretchedly unfunny wannabe comedy is inane and awful - no doubt , it 's the worst movie i 've seen this summer .	1
the film never rises above a conventional , two dimension tale	1
nair and writer laura cahill dare to build a movie around some flawed but rather unexceptional women , emerging with a fine character study that 's short on plot but rich in the tiny revelations of real life .	2
a case in point : doug pray 's scratch .	2
those who are only mildly curious , i fear , will be put to sleep or bewildered by the artsy and often pointless visuals .	1
you leave feeling like you 've endured a long workout without your pulse ever racing .	1
sly , sophisticated and surprising .	3
it 's worth taking the kids to .	4
shamelessly resorting to pee-related sight gags that might even cause tom green a grimace ; still , myer 's energy and the silliness of it all eventually prevail	2
like blended shades of lipstick , these components combine into one terrific story with lots of laughs .	4
the directing and story are disjointed , flaws that have to be laid squarely on taylor 's doorstep .	0
as warm as it is wise , deftly setting off uproarious humor with an underlying seriousness that sneaks up on the viewer , providing an experience that is richer than anticipated .	4
you have to see it .	4
for more than two decades mr. nachtwey has traveled to places in the world devastated by war , famine and poverty and documented the cruelty and suffering he has found with an devastating , eloquent clarity .	3
this pathetic junk is barely an hour long .	0
if you 've the patience , there are great rewards here .	3
