sentence	label
essentially close off international use of the station	0
called	0
voiced concern	0
place additional restrictions on freedom of expression and the press	0
nations will vanish from the face of earth	0
will be barred	0
is also reflected	0
its crazies	0
without effective	0
the problem is	0
outmanoeuvred	0
enormous implications	0
had all thought	1
more quickly	1
would callously exploit	0
is the victim of an explosive situation	0
is worrying	0
appreciable	1
appreciated	1
in fact unprecedented	0
an opponent	0
chorus of protest	0
successfully	1
were opposing	0
only abuse	0
most audacious	1
refused to confirm	0
numerous and profound irregularities	0
satisfactory	1
really	1
to take issue with	0
dismissed	0
admitted	0
rejects	0
stands alone	0
to be enemies	0
illegal combatants , not prisoners of war	0
undermine	0
beleaguered	0
condemnation	0
do n't want	0
it can not be taken into consideration , as long as the war against terrorism is far from over	0
in the lurch	0
rightly	0
difficult israeli demands	0
peace	1
massive potential market	1
the daunting problem of sparking an economic recovery	0
are committed	1
deeply flawed	0
thanks to	0
bad	0
trying to harass	0
has rejected	0
meaningless	0
are needed	0
has heightened the suspicion	0
showed its true hostility	0
bitterly fought	0
backing	1
targeted killing	0
no right	0
is supporting	1
request asking	1
choked off	0
systematically subverted democracy	0
will pose a merciless annihilating blow	1
one can only speak of mismanagement	0
appreciation	1
is confident	1
full of cruelties and torture	0
was repetitive	0
no more	1
simply used old drafts	0
damning report	0
wished success	1
called on	1
at the expense	0
do not want to work	0
only served to deny	0
have been critical of	0
cling obstinately	0
most interesting	1
express their deep dissatisfaction and firm opposition	0
negative reports	0
restoring legitimacy	1
their side of the story	1
concerned i become	0
warned	0
under the pretext	0
lies and by deceiving	0
but	0
victory	1
get away with bad bets	0
concern	0
enemy	0
but instead	0
urgently necessary	0
far from condemning	0
provoke	0
described	0
the protests	0
oddly enough	0
praised	1
is viewed	0
rig	0
hope	1
retreat	0
setback	0
an ability to look decades ahead and not let oneself get beaten down	1
rules in favour	1
at best	0
considers	0
expressed concerns	0
have not given up their wish	1
strikes at the heart	0
satisfied	1
can not	0
superior	0
more politely	1
systematically stealing	0
to encourage	1
can affect	1
want	1
were also satisfied	1
simplistic	0
not inferior	1
has been widely condemned	0
intentions	1
showdown	0
urged	1
voiced	0
intolerable	0
incapable	0
premature	0
has subsequently criticized	0
can not afford	0
accused	0
hope	1
terrible	0
blinding eyeglasses , masks incapacitating the mouth and nose , ear - splitting ear phones	0
longed for	1
easily qualify as repressive and violating human rights	0
damage to the international coalition against terrorism	0
always great	1
is to allow the growth of a dangerous focus	0
the 'axis of evil	0
nor are they	0
snapped at	0
may feel uneasy	0
a much better position	1
without admitting	0
the opposition members have a loaded gun at their head with mr . mugabe's fingers on the trigger	0
other major achievements	1
kill	0
oh god no	0
non - negotiable	0
wrangling	0
was a gift	1
they were wrong	0
barbarism	0
is asking	1
campaign of suppression	0
another diversionary tactic	0
are as damaging as	0
domination	0
positive control	1
voiced concern	0
under the excuse of fighting terrorism	0
not even be sufficient	0
undemocratic or uncivilized	0
increasing criticisms	0
have the benefit	1
criticized	0
supremacy of	1
preferred	1
finally entered a dangerous stage	0
the invitation of kingmakers to accept the crown	1
scandalous	0
commended	1
this is no reason to be optimistic	0
it delivered that blow , and hit argentina	0
farcical - yet - provocative	0
came forward opposing	0
urged	1
his brother , jeb , needs in order to secure his reelection	0
have committed many sins	0
had thanked	1
leadership	1
only reason for this would be	0
inefficient argentine automakers	0
urge	1
catering to the interests of the us oil and coal barons	0
either	0
criticism	0
mere expression of failure	0
humiliation	0
condemned	0
failed	0
does not agree	0
fair	1
fully back	1
your	0
great economic performance	1
always	1
threat	0
axis of evil remark	0
ineffective	0
was justified	1
resounding and sustained fall	0
hoping	1
a desire to approve	0
protested	0
this distortion in its policies	0
most audacious	1
perpetuate	0
clubbed two islamic states	0
understanding , cooperation and full support	1
want	1
unconditionally	1
hope	1
can actually enhance our competitiveness	1
such a bellicose president	0
is determined to pursue	1
see	1
were suspected of	0
sided	1
glorious past	1
by failing to hold firm	0
excuses	0
boasted	0
biggest	0
tragic circus	0
undermining	0
worsen	0
would go against	0
would exert excessive influence	0
hoped	1
thousands of innocent people	0
would be accepted	1
vowed	1
supported	1
advice	1
hostility to	0
repeatedly trumpeted	0
unreasonably	0
with only sparse information	0
such regimes	0
resorting to verbal quibbling	0
support	1
infamy against civilization	0
are getting better	1
had irritated	0
the lack of respect for the human person	0
the failure to discuss	0
so - called	0
the opposition by	0
abandoning	0
unleashed oppression	0
hasty	0
invite	1
meddling	0
like	1
commendable	1
inept , abusive and authoritarian government	0
defended	1
a legitimate activity and long overdue	1
rebuffed	0
challenged	0
resumed their anti - american tirade	0
growing frustration	0
what impressed him most	1
strongly criticized	0
legitimate	1
reckless	0
power at all costs	0
implored	1
oppressive	0
dangerously absolutist and simplistic stance	0
dreaming	1
breeding ground	0
evil country	0
inaccurate	0
seeking to mend fences	1
imperil	0
were in line with	1
spewed out virulent remarks	0
clearly not free and fair	0
expand constructive and cooperative relations	1
warned	0
remarkable	1
enough	0
sanctions busting	0
unacceptable	0
attack on our global village	0
expressing discontent	0
this is no blind violence but rather targeted violence	0
cycle of violence	0
final straw	0
a sense of unity and purpose	1
going in the right direction	1
such a failure	0
sympathy	0
opprobrium	0
grand strategy	0
is accused	0
fight against	0
congratulates	1
in the face of	0
yet	0
to peace and stability	1
threatening the world's peace	0
seeks	1
honored his commitment	1
advanced	0
suffered	0
were approved	1
real increase	0
worrying trend	0
condemned	0
labeled	0
in addition to being effective	1
warned	0
why is it not considered equally legitimate	1
being biased in favour of	1
accuses	0
revolutionary leaders	1
now heaped upon	0
the rioting	0
serious criticism was made	0
china's tremendous development potential	1
is running so scared	0
shackled like wild animals	0
cheering	1
rigged	0
arduous negotiations	0
bush's axis of evil rhetoric	0
moribund	0
even worse	0
under these circumstances	0
signed off on	1
affected every corner of the earth	0
as bad or worse	0
orchestrating	0
was quick to give assurances	1
hope	1
has concerned	0
blamed	0
refused	0
mimic	0
symptom of the 23 years of war that has devastated afghanistan	0
on suspicion of	0
accusations	0
celebrated	1
very strong concern	0
wait - and - see	0
has abused	0
significantly	1
believed	0
little chance of success	0
expose the cracks	0
will again attack	0
this warning	0
has confessed	0
condemnation	0
desperate means	0
not just simply to determine if there were a coup d'etat or not	0
called for	1
retrogression	0
satisfactorily	1
will not be able	0
only enhanced	1
right to exist	1
no longer any more of a problem for europe than the lack of development	0
anger	0
what would then remain	0
will not lead to a solution	0
fundamental freedoms	1
shooting unarmed civilian demonstrators in cold blood	0
have interests	1
scheme	0
inhumane and degrading	0
support	1
boasts	0
the fear	0
quite a lot	0
has already warned	0
should welcome	1
may squander the american taxpayer's money	0
humiliation of	0
impertinently picking a quarrel	0
are eagerly awaiting	1
am sure	0
has sounded the alarm	0
wanted	1
want	1
a group of arab and israeli peace activists , who wanted to bring food to ramallah , is expelled	0
under the excuse of fighting terrorism	0
the four square meter cages	0
still smarting	0
sheer lies	0
is promising	1
posed a credible security threat	0
killing innocent children and people	0
only made to tarnish the image	0
reckon	1
legitimate	1
seems to be creating a legal limbo	0
in a statement welcomes	1
concern	0
put off	0
am afraid	0
celebrated	1
the crisis is in a bind	0
was naive	0
disregards	0
endorsed	1
concerns	0
hardly	0
incessant irritant	0
would never readily agree	0
if tel aviv has not noticed	0
ushered in an era of stability	1
failed	0
used to further his electoral chances	0
the ideal of a world kingdom	0
legitimate	1
called on	1
palestinians' right to their own country	1
refused	0
cramped and spartan	0
not been treated properly	0
reassurances	1
not so well sourced	0
deteriorating	0
waging a ruthless war against	0
dangerous course of action	0
want	1
hatred	0
a very risky scenario	0
urged	1
expressed understanding	1
understand	0
further expressed alarm	0
utterly	0
settle scores	0
agreed	1
were blown up by ammunition	0
opportunity	1
in violation	0
doubtful	0
father of independence	1
should be fully guaranteed	1
just peace	1
opposition	0
infuriated	0
illegitimate	0
concern	0
utter boredom	0
without winners	0
was slandering	0
the world will be much safer	1
compromising	1
he belongs to the good side	1
the important point	0
hoped	1
promise	1
without exception	0
can be confident in the knowledge	1
to cut costs	1
slammed	0
fervently escalates a campaign of bludgeoning its citizens	0
axis of evil	0
prejudging	0
pretext	0
impeding	0
cowed	0
would realize	1
the goal set	1
most ludicrous	0
upright	1
claims to support	1
must think	1
openly declared	0
inaccurate	0
wilfully ignoring	0
often unfortunately invisible	0
probably unfortunate	0
builders	1
however	0
arrogance	0
to the venezuelan armed forces' misfortune	0
a defensive action	0
provocation	0
arguing	1
broader cooperation	1
praised by	1
puzzled	0
legitimate	1
the meat was entering the food chain	0
will employ a crafty trick	0
for the generosity of his soul	1
credibility evaporated	0
understanding	1
fraud - tainted	0
so - called truths	0
artificial	0
anthology of rhetorical follies	0
were callous	0
tragedy	0
masterminded	0
allegations	0
aided and abetted	0
with a large degree of confidence	1
denunciation and rejection	0
fake	0
hope	1
opposed	0
said smiling	1
opinionated	0
support	1
believe	1
transparent , credible , free and fair	1
axis of evil	0
obsession with	0
wanted	1
were left frustrated	0
opposition	0
wants	1
lowly outpost	0
either of them	0
accused of	0
can not be solved by washington's arbitrary decision	0
approval	1
challenged	0
stiffest opposition	0
falsifying history	0
neocolonial attempt	0
hope	1
supporters	1
think	0
by fraud	0
in our good [human rights] record	1
hope	1
interfering	0
criticizing	0
an unambiguous message	1
rejected	0
almost all parts of the globe	0
being supported	1
rank as the understatement of the year	0
would care very little	0
punish	1
wants	1
deigned	0
accusing	0
not holding any lengthy debates	0
aggressive ambitions	0
went so far	0
in order to stop the continuing decline	0
practically scream , ca n't wait till you leave	0
claimed	0
support	1
deep concern of	0
exterminate	0
by force	0
remained poor	0
criticism	0
threatens argentine democracy	0
irregularities	0
civilized	1
resulted in many people being killed or tortured that did n't need to be	0
failure to gain legitimacy	0
blabbing	0
real	1
good	1
a former army coup - meister himself	0
endorse	1
wish to influence	1
can feel proud	1
warned	0
was only intended to fan up war hysteria	0
i will have won	1
problems	0
front and centre	0
alleged	0
denounce	0
will allow	0
the major enemy	0
remains optimistic	1
has come under fire	0
poses a danger	0
mired in	0
new milestone	1
just want	1
dialogue and coexistence	1
casting shadow	0
reminded	0
because they seek weapons of mass destruction and have links with terrorist groups	0
denunciation	0
denied	0
some guano rock in the pacific	0
should earnestly abide	1
benefited most	1
mistake	0
deny	0
made a mistake	0
immediately attacked	0
will never tolerate	0
have screamed	0
basic doubts	0
stood with the us	1
stage	0
hope	1
effectively curb	1
seeks to hide behind a military uniform	0
would not accept	0
back down	0
continued support	1
impossible	0
rebelled	0
favoured	1
loved	0
revolutionary process	1
to refuse	0
had rebuffed	0
would like	1
axis of evil rhetoric	0
burden really lies	0
to paint a dark picture	0
hidden agents	0
not putting their letterhead on anything	0
to challenge	0
was surprised , to put it mildly	0
dropping	0
seeking revenge	0
occupy palestinian cities	0
called for	1
the axis of evil	0
has been finding it extremely difficult	0
traditions of humane treatment	1
beneficial	1
always above everything else	0
pessimistic again	0
abandons	0
communiques and relevant commitments	1
draw the ire of	0
complains	0
as if our country had a human rights problem	0
for months	0
sillier still	0
have also condemned	0
not on very solid legal ground	0
badly battered	0
in contravention of the country's constitution	0
support	1
unlike the cold war , is rid of the north - south confrontation	1
if rummy booked these tough guys into a motel 6 , they'd complain that there's no room service	1
resort to all means to impede the march for peace	0
accused	0
inhumane	0
made nonsensical gaffes	0
dignified	1
could bring about a confrontation for power	0
no enemy of consequence in sight	0
disruption of peace for mankind	0
spewed out all kinds of vicious remarks	0
successful	1
do not like	0
in fact poverty	0
under the pretext of security considerations	0
effectively ruled	1
will be invited	1
true reflection	1
fuel - guzzling	0
appears to be sidestepping the conventions	0
thanked	1
are feeling	0
is indeed grateful	1
promised	1
arbitrarily	0
knows enough	1
never allowed	0
angry	0
showered upon favours	0
not stained with blood	1
evenhanded	1
very unfavorable impact on relations	0
peaceful	1
bleeding hearts	0
open	1
spirit of cooperation and understanding	1
proposals for	1
crimes of war	0
has riled	0
to back	1
this cruelty	0
pronounced	1
strongly condemned	0
delinquent	0
assassin	0
inconsistent	0
apathy	0
it breaks your heart	0
do n't need the kind of politician brian tobin had become	0
a problem	0
hapless vanquished	0
are becoming nonexistent	0
try to threaten	0
long refused	1
hope	1
has allowed itself to infringe international rules	0
recognition	1
threat only to	0
preserve	1
worries	0
hostility towards	0
axis of evil	0
is beginning to work	1
frighten	0
writing off	0
pleasure displayed	1
fundamentally can not accomplish anything	0
labeling	0
disaster	0
a shocking story	0
has become stable and dynamic	1
may have changed	1
vicissitudes	0
immensely impressed	1
good treatment	1
criticism	0
achieving nothing	0
leading role	1
fear	0
it's a proud freedom day	1
accused	0
major force of anti - terrorism	1
remains committed	1
to ask	1
been eaten by the minotaur	0
has called for	1
country of enormous potential	1
more alarming faults	0
not devoid of slips of the tongue	0
still assist terrorists	0
kill	0
rock - throwing youths responded	0
they can not be trusted	0
restore credibility	1
only empty rhetoric	0
as to whether or not	0
appeared ready	1
used the word of axis of evil to label	0
gaffe	0
protests	0
was pleased	1
rejection	0
this objective	1
one - sided , self - righteous policy	0
want	1
to seek to target	0
overshadowing	0
angry	0
rejected	0
recommendation	1
axis of evil dogma	0
are waiting anxiously	0
possibly suicidal	0
excused	1
the abuse of human rights is rampant	0
cages which recall 'hotel hanoi'	0
was unwise enough	0
policies	1
urged	1
downplayed	0
subjugate	0
expressed his surprise	1
pathetic in that	0
whatsoever	0
was a priority goal	1
aggressors	0
for the benefit and well - being of future generations all over the planet	1
a road to peaceful coexistence	1
will be lower	1
violated	0
breaks your heart	0
not sufficient	0
congratulated	1
fears	0
thanks to	1
pretend to be	0
contributions	1
recognition	1
would like to request	1
centered	0
feared	0
sending out a clear message of peace that is loud and clear	1
futile	0
harsh	0
against	0
thinking	0
not happy	0
threatening	0
endorsed	1
ugly split	0
the most shameful detentions in the history of post - war incarceration in the 21st century	0
his friendship	1
congratulated	1
desirable	1
wanted	1
interested	1
will push for	1
violent protests	0
that terrible day	0
perhaps it is perverse	0
chanted	0
was devoted	1
so help me god	1
rightly a champion	1
one - sided war	0
has pledged	1
hard - line wing	0
favourable	1
not done anything	0
as exaggerated	0
had praised	1
some doubts	0
certain excesses	0
severely	0
with the help of the almighty god	1
mouthy	0
whose hair is not blondest of the blonde	0
should not be loaded with all the world's sins	0
appealed	1
criticism	0
no longer quite ready to follow	0
the will of the people is realised	1
demand	1
risks	0
anti - democractic	0
exploding further	0
seeks	1
realized	0
he could be very useful	1
hoped	1
sabotage by white farmers	0
smoothly	1
expressed regrets	0
have applauded 70 times	1
warned	0
concerns	0
his commitments	1
has encouraged	0
instigating	0
there was a lot of fear and tension	0
suffer the consequences of its own economic mismanagement	0
invisible	0
failed	0
the aim	1
some seem doubtful	0
objective and circumspect	1
is demanding	1
state - sponsored	0
speak ill	0
readily	0
the hardest of the hard core	0
wishes of	0
raised expectations	1
the solidity of this argument , though , has increasingly been demolished	0
oppressive israeli military campaign	0
not up to him to decide who is a captive or who is not a captive	0
culturally appropriate	1
considers	0
any reckless action	0
would not support	0
will have to withdraw	1
slams	0
insulting	0
respected	1
totally dependent	0
failed experiences	0
validate a sham	0
this is a positive factor	1
confusion	0
spurning	0
if painful	0
outcry	0
you ca n't live with this level of hysteria	0
expressed concern	0
united states' hostility to islam	0
jubilant	1
unprecedented	0
difficult	0
called on	1
neo - colonialism	0
has eroded the government's ability	0
want change	1
did his best to undermine confidence	0
wholesale rigging of the vote	0
outrage	0
has called for	1
accused	0
welcome and support	1
conspiring	0
recommendations	1
vigorously lobby	0
presidential folly that will sully the name of the armed forces	0
if they were dealt with properly	1
more sanctions should be imposed	0
would gladly go	1
considers	1
incredible damage	0
disapproval	0
could be damaged	0
interested	1
are eyesores	0
a better life	1
the warning	0
grave crisis	0
any act of violence or use of threat , regardless of reason and aim	0
advocated	1
unjust	0
irresponsible	0
wanted	1
supposed to approve and participate in	1
unfavorable	0
bowed to pressure	0
no qualifications and face	0
wanted to argue	0
frustrate	0
stolen an election	0
to honor	1
the most serious	0
glad	1
with the specific objective	1
and yet	0
as if it was a minority	0
was refused	0
ending	1
distorted	0
desire	1
sneaked into	0
virulent	0
membership in the axis of evil ,	0
are concerned	0
could not have wished	1
sensible , serious voice in cabinet	1
war against terrorism'	0
had been tainted by months of political violence and intimidation , last - minute changes to electoral laws , and the disenfranchisement of tens of thousands of voters in harare	0
axis of evil argument	0
will remove you violently	0
sought to ease	1
fearing	0
avoid deepening	0
the biggest	0
u . s . domination	0
would like to extend	1
free and fair	1
required a more mature approach	1
has not brought the israeli public security	0
accuses	0
deep international outrage	0
head off an explosive growth	1
could enter a state of social rebellion	0
appealed	1
desire	1
horrifying act of oppression	0
unpleasant	0
believe	0
reports sowing the seeds of hatred and malice , or disparaging	0
dignity	1
perhaps the international community is right	1
while destroying the instruments of his power	0
in metal cages named detention centres	0
hoped	1
a veritable media triumph	1
promotion	1
infuriated	0
would be a reluctant financial firefighter	0
to fight	0
erroneous	0
certainly help	1
largely try to keep as much hegemony	0
double standards	0
unsubstantiated	0
cherished	1
anger	0
feels uneasy	0
the rhetoric of good and evil is not suitable	0
will not	0
rejection	0
criticized	0
demonstrations	0
pretext to crack down on legitimate dissent	0
growing amplitude	1
deformed	0
severely damaged	0
came to anderson's support	1
ruined	0
entrench	0
torture	0
aggressive policy	0
violation	0
warm peace , not a cold peace	0
unquestionably	1
was condemned	0
helped argentina dig itself into a deeper hole	0
have made a difference	1
is desperate	0
an ``axis of evil	0
approved	1
very useful	1
was endorsed	1
warm	1
hurt	0
axis of evil	0
return of balance	1
quite good	1
incompetent	0
violating human rights	0
road that leads swiftly to the abyss	0
with guns , bombs and soldiers	0
is ignoring its commitments	0
inhumanely	0
refused	0
strictly abide	1
still persisted	1
the claim	0
did not even have the goodness	0
could be hobbled	0
for no reason	0
hope	1
this has not been the case	0
is realized and the cause of justice wins	1
violence	0
creeps	0
rig	0
does not look very good	0
far out of tune	0
are going to voice their concerns	0
such animosity	0
duress	0
fortunately	1
can only be paradoxical	0
this confidence	1
only	0
can anyone believe	0
at the expense	0
not only	0
invited	1
scared	0
dressings down	0
baby - faced	0
is fully biased to israel	1
terrorizing	0
to offer support	1
is particularly opposed	0
refused	0
harsh treatment of its own citizens	0
agreed	1
how docile	1
nonbelligerent	1
boost	1
tensions	0
the best way	1
club fed	0
expressed concern	0
voiced its protest	0
hard not to see	0
was concerned	0
protest	0
were honest	1
consistently opposed	0
to promote	1
rogue nations	0
justice always finds support and sympathy	1
warned	0
such a false	0
expresses condolence , sympathy and solicitude	0
am shocked	0
conceal	0
high treason	0
do not reflect the reality	0
continued to keep alive	0
charging	0
promises	1
containing daily criticism of	0
a very complicated process	0
do n't want	0
free and fair	1
should not	0
good	1
refusal to classify	0
are judged	1
willingness	1
ensure instability or militancy	0
was important	1
go into the streets en masse and defend and support	1
have made a great progress	1
in case they lost their teeth while , say , biting a guard	0
nothing more	0
has just ratified	1
where the hell it is	0
support	1
axis of evil	0
in vain	0
criticism	0
rejected	0
resignation	0
risking the danger	0
succeed	1
complained	0
the money well spent	1
axis of evil	0
as if it were an adjudicator	0
does not qualify for any of the laws	0
dictate or intimidate	0
war on terror .	0
incomprehension	0
normal relations	1
intensive efforts that our big sister , egypt	1
taking away from	0
is floundering	0
thrust out his hand	1
legal limbo	0
threat	0
call on	1
criticizing	0
plan	1
divergent views	0
has fallen on stones	0
generally respecting the human rights of its citizens	1
heavily damaged	0
mixed	0
so - called	0
voter intimidation , last - minute election - law changes , and outright fraud	0
advisories	0
not that of journalists	0
repression	0
legitimate	1
greatest sincerity of peaceful unification	1
great advantage	1
was neither free nor fair	0
media conspiracy	0
considers	1
thanked	1
message and warning by	0
fairest	1
successfully advocated	1
only a fraction	1
committing wrong - doings	0
forging its own way	0
are not satisfied with	0
strikingly illustrated	1
independence	1
support by	1
worst showing ever	0
threatened	0
hoped	1
have welcomed	1
without comprehensively consulting with the countries concerned	0
reconciliation	1
refuses	0
to hide from protestors	0
probably never	0
accuses	0
free and fair ballot will remain a mirage	0
support	1
you get the feeling	0
what he called	0
will not respect	0
wish	1
free and independent state	1
voiced his gratitude	1
however	1
shook	0
concern	0
violated his military oath	0
am sure	1
unwavering will	1
rallies for solidarity	1
scope for more improvement	1
decided to punish	0
committed	1
resented	0
there is need for a partnership	1
plight of the palestinians under occupation	0
destroy so - called peace	0
full support	1
strong opposition	0
axis of evil	0
in tatters	0
caused serious damage	0
cages	0
will allow emissions to increase without any time frame , eternally	0
boasts	1
is supporting and protecting	1
come out opposing	0
infinitely difficult to reconcile oneself	0
slammed by	0
inevitable chaos and war	0
have also voiced interest	1
relentlessly demonstrated	0
are outraged	0
thrown its weight behind	1
serious	0
had been accused	0
distanced themselves	0
danger they pose	0
adequate	1
both ridiculous and odd because they all seemed to be playing games	0
poses a new threat	0
one of the most unstable	0
would set a precedent that could affect the fate of us soldiers sent out to risky areas of this planet	0
the only winners	1
approval	1
everyday life will get back to normal	1
a storm of protest	0
reduced to objects	0
wish	1
bring the government down in turmoil	0
would be a positive development	1
are urged	0
keeping a watchful eye	0
decrying	0
want	1
came forth supporting	1
spoke in support of	1
criticism	0
losing currency	0
my promise	1
pleased	1
many problems	0
do hope so	1
neither free nor fair	0
one of the most terrible	0
viciously	0
vote rigging	0
had favored	1
fully respected	1
going to the dogs	0
would promote	1
abundant reserves of energy	1
merely a gesture	0
feeling sorry	0
functional anti - us entity	0
can not be called a democracy	0
disrupt	0
aligned themselves	0
fit of force	0
unable to come to terms	0
is feared	0
spoke arrogantly , humiliatingly , aggressively	0
damaging to the state's interests	0
resolute defender	1
no more than an improved carbon copy	0
refused	0
should forge unity	1
supporters	1
claims	0
encourage	1
had contested	0
questions can be asked	1
simply to rubber stamp	0
all these innocent people being killed	0
hurt	0
spirit of the geneva convention	1
falls far short	0
its burning territorial ambition	0
rejected	0
wronged	0
promised	1
uncertainty	0
uncomfortable	0
lose the right to count itself among the world's democracies	0
that may be so	1
excuses	0
agreed	1
indignation	0
has regarded	0
good idea	1
as if	0
high prospects	1
badly - resolved problems	0
rigging	0
so little information	0
kill an american	0
reaffirmed	1
thugs and fraud	0
disapproves	0
continued support	1
urging	1
that will win us votes	1
have urged	1
axis of evil	0
defying	0
cautioned	0
damage	0
arrogant	0
will steal	0
common - sense	1
harsh	0
systematically wrecked	0
probably	0
was worried	0
alleged support	1
core	0
threatens	0
still going strong	1
systematic campaign of violence and intimidation	0
do n't want	0
only be averted	1
takes into consideration	1
stressed with pride	1
explosive	0
straighten this mess out	0
state terrorism against its own citizens	0
for perishing	0
abuses including torture	0
directly responsible	0
is this how	0
had relentlessly demonstrated	0
used to call	0
calm and forward - looking	1
marred	0
that there is a future to be built	1
oppose	0
great israeli empire	1
would be unmasked	0
battle of good versus evil	0
serious	0
alleged rigging	0
wants	1
have been accused	0
shown understanding	1
needed to be wiped out	0
stressed	1
other than that , nothing will count	0
insisted	1
a staunch ally	1
are willing to die	0
have angered	0
day one : brian decides it's finally time to learn how to diaper the baby	0
welcomed	1
the approval of	1
are considered	0
am afraid to say	0
little more than	0
have complete confidence	1
worry	0
have worse conditions	0
concern	0
hand it the bill	0
defective nature of our constitutional framework	0
have triumphed	1
threatening	0
sufficiently patriotic	1
were intimidated	0
excessively harsh	0
axis of evil	0
refused to grant	0
pushed	1
against the enemy	0
supports	1
does not mean	0
it could blossom	1
taking advantage of this	0
not only just	1
an axis of evil	0
axis of evil	0
scepticism and scorn	0
unfortunately	0
wanted	1
was once hoped	1
would support	1
within tens of millions of arabs	1
cages	0
wisely	1
denounces	0
no benefit at all	0
would interfere	0
traitor	0
lacks a coherent	0
fundamentally unfair and unjust	0
smoothly	1
want	1
shocking swing	0
weak , developing nation	0
considers	1
dogged	0
is achieved after thousands of years of research	1
put an end to	1
have been signed to promote	1
do not help	0
assuming a rigid stance against	0
scenes of anarchy	0
some are beginning to forget	0
telling lies	0
to ensure the full exercise of democratic rights	1
it's too good for the bastards	0
first major	1
that safety net will fall apart	0
crushed human rights principles	0
human rights violations	0
superpower has entered a legal fog	0
to attack	0
have sought	1
chavez' incapacity	0
fears	0
actively contributed	1
main supporter	1
practically no hospital medical attention	0
was nothing but	0
privileges	1
troublemaking	0
due to those who stand in the way of the settlement	0
errant member	0
would continue to support	1
veils his fears and traumas	0
they are a bit of a tangle	0
can not refuse offering cooperation	1
violent protests	0
still wants	1
violent reaction	0
concern	0
in mourning	0
of all things	0
was agreed upon	1
it's not a bad deal	0
everyone pays dearly for his mistakes , and somehow manages as best he can	0
supremacy	0
implicitly asking	1
and punish those guilty	0
it is dangerous	0
trying to inflict	0
advancing	1
spew	0
feared	0
patchwork	0
mandatory	0
has recognized	1
changing our values and our way of life would be terrorism's first victory	0
against obstructing	0
of instigating the looting to overthrow the government	0
such a criticism	0
suspected	0
will urge	1
constitutionally acceptable	1
have also agreed	1
loud opposition	0
are seen	0
said optimistically	1
refused by	0
warning	0
at the severe end	0
claim	0
great	1
punishment	0
mistrust	0
impossible to maintain	0
